"KEY","First_Seen","Last_Seen","Current_Status","Previous_Status","Times_Reopened","Days_Active","Last_Updated"
"192.168.0.243|110316","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110312","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110311","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110310","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110309","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110308","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110307","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110306","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110303","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110300","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110299","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110298","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110297","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110296","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110293","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110292","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110283","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110282","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110266","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110265","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110261","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110260","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|100413","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92365","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92361","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92360","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92359","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92358","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92357","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92351","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92347","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92339","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92317","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92307","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92265","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92260","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92235","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92229","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
